Vehículo analizado,Abolladuras,Puerta fuera de perfil,Fuera de secuencia,Piezas con rebabas,Piezas desordenadas,Otras
1,0,0,3,2,0,0
2,0,0,1,2,1,3
3,0,2,0,1,3,4
4,0,0,0,1,0,0
5,1,2,0,0,0,0
6,0,0,0,0,0,0
7,0,1,0,0,4,2
8,0,0,0,3,2,0
9,0,0,0,0,0,4
10,0,0,0,0,1,0
11,0,0,0,0,0,0
12,0,0,0,2,7,0
13,0,0,0,0,1,4
14,0,0,0,2,0,0
15,0,0,0,0,2,0
16,0,0,0,0,0,3
17,0,0,0,5,7,3
18,0,0,0,0,0,3
19,0,0,2,2,4,4
20,0,0,0,5,0,0
21,0,0,0,0,4,0
22,0,0,1,0,4,1
23,0,0,0,0,1,4
24,0,4,0,2,0,0
25,0,0,0,1,4,7
26,0,0,0,3,1,0
27,0,0,1,0,0,0
28,0,0,1,0,0,0
29,0,1,0,2,1,1
30,4,0,0,0,0,2
31,1,0,0,0,7,1
32,0,0,0,0,0,0
33,0,0,0,0,1,0
34,0,2,0,0,4,4
35,0,0,1,0,0,0
36,0,0,0,0,0,4
37,0,0,0,2,1,0
38,0,0,0,0,0,4
39,0,0,0,0,0,6
40,0,0,4,0,4,0
41,0,0,0,2,2,0
42,0,5,0,0,0,0
43,0,0,0,0,5,4
44,0,0,0,2,3,4
45,0,2,0,0,2,5
46,0,0,0,0,2,0
47,0,0,0,0,0,2
48,5,2,1,0,2,0
49,0,0,0,4,0,2
50,0,0,0,0,0,1
51,0,0,0,0,2,0
52,0,0,0,0,4,0
53,0,0,0,0,6,0
54,0,0,0,5,0,0
55,0,0,0,0,0,1
56,0,2,5,0,0,0
57,0,0,0,0,0,1
58,0,5,0,0,0,0
59,0,2,0,2,0,0
60,0,0,0,0,4,2
61,0,0,1,0,0,0
62,0,0,0,2,1,4
63,2,0,0,0,0,0
64,0,1,0,0,1,2
65,0,0,0,2,0,5
66,0,0,0,0,4,1
67,0,0,0,2,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,1
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,5,4
73,0,0,0,0,0,0
74,0,0,0,3,1,0
75,0,0,0,0,6,0
76,0,0,4,0,0,0
77,0,0,0,3,0,7
78,0,0,0,4,0,5
79,0,0,1,2,6,0
80,0,0,0,0,0,0
81,0,0,1,0,2,0
82,1,0,1,0,0,1
83,0,0,0,5,4,0
84,0,0,0,2,0,0
85,0,0,0,0,0,0
86,0,0,0,0,7,0
87,0,2,0,0,0,5
88,0,0,0,1,0,1
89,0,0,0,2,0,0
90,0,0,1,0,3,0
91,0,2,0,2,5,0
92,0,0,4,2,6,0
93,0,0,0,0,4,0
